date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:14	170/170	---M-Z	200	added ('OK')	text/plain	etag:%220c42025bd88d31:0%22	http://www.swosu.edu/robots.txt		(from )
11:19:14	13284/13284	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:13%20GMT	http://www.swosu.edu/administration/reslife/	./www.swosu.edu/administration/reslife/index.html	(from )
11:19:15	13284/13284	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:14%20GMT	http://www.swosu.edu/administration/reslife/index.aspx	./www.swosu.edu/administration/reslife/index-2.html	(from http://www.swosu.edu/administration/reslife/)
11:19:16	14078/14078	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:15%20GMT	http://www.swosu.edu/administration/reslife/black-kettle/index.aspx	./www.swosu.edu/administration/reslife/black-kettle/index.html	(from http://www.swosu.edu/administration/reslife/)
11:19:17	13929/13929	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:16%20GMT	http://www.swosu.edu/administration/reslife/rogers-jefferson/index.aspx	./www.swosu.edu/administration/reslife/rogers-jefferson/index.html	(from http://www.swosu.edu/administration/reslife/)
11:19:18	13970/13970	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:17%20GMT	http://www.swosu.edu/administration/reslife/neff/index.aspx	./www.swosu.edu/administration/reslife/neff/index.html	(from http://www.swosu.edu/administration/reslife/)
11:19:19	14245/14245	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:19%20GMT	http://www.swosu.edu/administration/reslife/oklahoma/index.aspx	./www.swosu.edu/administration/reslife/oklahoma/index.html	(from http://www.swosu.edu/administration/reslife/)
11:19:20	13821/13821	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:19%20GMT	http://www.swosu.edu/administration/reslife/stewart/index.aspx	./www.swosu.edu/administration/reslife/stewart/index.html	(from http://www.swosu.edu/administration/reslife/)
11:19:21	14449/14449	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:20%20GMT	http://www.swosu.edu/administration/reslife/apartments/index.aspx	./www.swosu.edu/administration/reslife/apartments/index.html	(from http://www.swosu.edu/administration/reslife/)
11:19:22	13526/13526	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:22%20GMT	http://www.swosu.edu/administration/reslife/bring.aspx	./www.swosu.edu/administration/reslife/bring.html	(from http://www.swosu.edu/administration/reslife/)
11:19:23	16551/16551	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:22%20GMT	http://www.swosu.edu/administration/reslife/faqs.aspx	./www.swosu.edu/administration/reslife/faqs.html	(from http://www.swosu.edu/administration/reslife/)
11:19:24	14709/14709	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:23%20GMT	http://www.swosu.edu/administration/reslife/j-board.aspx	./www.swosu.edu/administration/reslife/j-board.html	(from http://www.swosu.edu/administration/reslife/)
11:19:25	13528/13528	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:24%20GMT	http://www.swosu.edu/administration/reslife/forms.aspx	./www.swosu.edu/administration/reslife/forms.html	(from http://www.swosu.edu/administration/reslife/)
11:19:26	13647/13647	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:26%20GMT	http://www.swosu.edu/administration/reslife/contact.aspx	./www.swosu.edu/administration/reslife/contact.html	(from http://www.swosu.edu/administration/reslife/)
11:19:27	12584/12584	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:26%20GMT	http://www.swosu.edu/administration/reslife/events-programs.aspx	./www.swosu.edu/administration/reslife/events-programs.html	(from http://www.swosu.edu/administration/reslife/)
11:19:30	30391/30391	---M--	200	added ('OK')	image/jpeg	etag:%22341a4c33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/residence-life-housing-w-1.jpg	./www.swosu.edu/administration/reslife/images/residence-life-housing-w-1.jpg	(from http://www.swosu.edu/administration/reslife/)
11:19:31	14444/14444	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:29%20GMT	http://www.swosu.edu/administration/reslife/black-kettle/staff.aspx	./www.swosu.edu/administration/reslife/black-kettle/staff.html	(from http://www.swosu.edu/administration/reslife/black-kettle/index.aspx)
11:19:32	13032/13032	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:30%20GMT	http://www.swosu.edu/administration/reslife/black-kettle/floor-plans.aspx	./www.swosu.edu/administration/reslife/black-kettle/floor-plans.html	(from http://www.swosu.edu/administration/reslife/black-kettle/index.aspx)
11:19:33	13885/13885	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:31%20GMT	http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx	./www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.html	(from http://www.swosu.edu/administration/reslife/black-kettle/index.aspx)
11:19:35	13964/13964	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:33%20GMT	http://www.swosu.edu/administration/reslife/rogers-jefferson/staff.aspx	./www.swosu.edu/administration/reslife/rogers-jefferson/staff.html	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/index.aspx)
11:19:35	61433/61433	---M--	200	added ('OK')	image/jpeg	etag:%221c6e6d33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-exterior.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-exterior.jpg	(from http://www.swosu.edu/administration/reslife/)
11:19:37	13045/13045	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:35%20GMT	http://www.swosu.edu/administration/reslife/rogers-jefferson/floor-plans.aspx	./www.swosu.edu/administration/reslife/rogers-jefferson/floor-plans.html	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/index.aspx)
11:19:39	13377/13377	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:36%20GMT	http://www.swosu.edu/administration/reslife/rogers-jefferson/r-j-pics.aspx	./www.swosu.edu/administration/reslife/rogers-jefferson/r-j-pics.html	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/index.aspx)
11:19:41	62293/62293	---M--	200	added ('OK')	image/jpeg	etag:%22783e5333d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-vertical.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-vertical.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/index.aspx)
11:19:43	19393/19393	---M--	200	added ('OK')	image/jpeg	etag:%225c574733d188d31:0%22	http://www.swosu.edu/administration/reslife/images/rogersjefferson.jpg	./www.swosu.edu/administration/reslife/images/rogersjefferson.jpg	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/index.aspx)
11:19:43	13670/13670	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:40%20GMT	http://www.swosu.edu/administration/reslife/neff/staff.aspx	./www.swosu.edu/administration/reslife/neff/staff.html	(from http://www.swosu.edu/administration/reslife/neff/index.aspx)
11:19:43	12970/12970	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:42%20GMT	http://www.swosu.edu/administration/reslife/neff/floor-plans.aspx	./www.swosu.edu/administration/reslife/neff/floor-plans.html	(from http://www.swosu.edu/administration/reslife/neff/index.aspx)
11:19:45	13181/13181	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:44%20GMT	http://www.swosu.edu/administration/reslife/neff/neff-pics.aspx	./www.swosu.edu/administration/reslife/neff/neff-pics.html	(from http://www.swosu.edu/administration/reslife/neff/index.aspx)
11:19:46	6597/6597	---M--	200	added ('OK')	image/jpeg	etag:%2234bfb332d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff.jpg	./www.swosu.edu/administration/reslife/images/neff.jpg	(from http://www.swosu.edu/administration/reslife/neff/index.aspx)
11:19:47	13740/13740	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:46%20GMT	http://www.swosu.edu/administration/reslife/oklahoma/staff.aspx	./www.swosu.edu/administration/reslife/oklahoma/staff.html	(from http://www.swosu.edu/administration/reslife/oklahoma/index.aspx)
11:19:47	12855/12855	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:46%20GMT	http://www.swosu.edu/administration/reslife/oklahoma/floor-plans.aspx	./www.swosu.edu/administration/reslife/oklahoma/floor-plans.html	(from http://www.swosu.edu/administration/reslife/oklahoma/index.aspx)
11:19:48	13516/13516	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:46%20GMT	http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx	./www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.html	(from http://www.swosu.edu/administration/reslife/oklahoma/index.aspx)
11:19:49	7665/7665	---M--	200	added ('OK')	image/jpeg	etag:%2220a99a33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma.jpg	./www.swosu.edu/administration/reslife/images/oklahoma.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/index.aspx)
11:19:50	13719/13719	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:49%20GMT	http://www.swosu.edu/administration/reslife/stewart/staff.aspx	./www.swosu.edu/administration/reslife/stewart/staff.html	(from http://www.swosu.edu/administration/reslife/stewart/index.aspx)
11:19:51	13142/13142	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:50%20GMT	http://www.swosu.edu/administration/reslife/stewart/floor-plans.aspx	./www.swosu.edu/administration/reslife/stewart/floor-plans.html	(from http://www.swosu.edu/administration/reslife/stewart/index.aspx)
11:19:52	13493/13493	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:51%20GMT	http://www.swosu.edu/administration/reslife/stewart/stewart-pics.aspx	./www.swosu.edu/administration/reslife/stewart/stewart-pics.html	(from http://www.swosu.edu/administration/reslife/stewart/index.aspx)
11:19:53	6934/6934	---M--	200	added ('OK')	image/jpeg	etag:%22467f632d188d31:0%22	http://www.swosu.edu/administration/reslife/images/stewart.jpg	./www.swosu.edu/administration/reslife/images/stewart.jpg	(from http://www.swosu.edu/administration/reslife/stewart/index.aspx)
11:19:54	5934/5934	---M--	200	added ('OK')	image/jpeg	etag:%22985f432d188d31:0%22	http://www.swosu.edu/administration/reslife/images/apartments.jpg	./www.swosu.edu/administration/reslife/images/apartments.jpg	(from http://www.swosu.edu/administration/reslife/apartments/index.aspx)
11:19:55	12854/12854	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2017:19:54%20GMT	http://www.swosu.edu/administration/reslife/apartments/floor-plans.aspx	./www.swosu.edu/administration/reslife/apartments/floor-plans.html	(from http://www.swosu.edu/administration/reslife/apartments/index.aspx)
11:20:02	25041/25041	---M--	200	added ('OK')	image/jpeg	etag:%22e49f5533d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-hc.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-hc.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/staff.aspx)
11:20:07	42099/42099	---M--	200	added ('OK')	image/jpeg	etag:%2228c45c33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/lead-ra.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/lead-ra.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/staff.aspx)
11:20:08	25130/25130	---M--	200	added ('OK')	image/jpeg	etag:%225015833d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/1st-floor-black-kettle.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/1st-floor-black-kettle.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/floor-plans.aspx)
11:20:11	63240/63240	---M--	200	added ('OK')	image/jpeg	etag:%2228c45c33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-ras.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-ras.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/staff.aspx)
11:20:13	26677/26677	---M--	200	added ('OK')	image/jpeg	etag:%2288cf6f33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/2nd-3rd-floors-black-kettle.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/2nd-3rd-floors-black-kettle.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/floor-plans.aspx)
11:20:19	57045/57045	---M--	200	added ('OK')	image/jpeg	etag:%226ce86333d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-lobby.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-lobby.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:21	59077/59077	---M--	200	added ('OK')	image/jpeg	etag:%226ce86333d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-game-room.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-game-room.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:23	59016/59016	---M--	200	added ('OK')	image/jpeg	etag:%221c6e6d33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-movie-room.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-movie-room.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:30	60528/60528	---M--	200	added ('OK')	image/jpeg	etag:%22d8496633d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-lounge.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-lounge.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:31	56436/56436	---M--	200	added ('OK')	image/jpeg	etag:%2294255f33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-2nd-study.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-2nd-study.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:33	53499/53499	---M--	200	added ('OK')	image/jpeg	etag:%22e49f5533d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-hallway.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-hallway.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:33	5796/5796	---M--	200	added ('OK')	image/jpeg	etag:%221453ab33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/luke-mccullom%20.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/luke-mccullom%20.jpg	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/staff.aspx)
11:20:37	15194/15194	---M--	200	added ('OK')	image/jpeg	etag:%2214f81233d188d31:0%22	http://www.swosu.edu/administration/reslife/images/r-j-hall/rj-staff.jpg	./www.swosu.edu/administration/reslife/images/r-j-hall/rj-staff.jpg	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/staff.aspx)
11:20:41	56326/56326	---M--	200	added ('OK')	image/jpeg	etag:%221c6e6d33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/black-kettle/bk-bedroom.jpg	./www.swosu.edu/administration/reslife/images/black-kettle/bk-bedroom.jpg	(from http://www.swosu.edu/administration/reslife/black-kettle/black-kettle-pics.aspx)
11:20:43	41161/41161	---M--	200	added ('OK')	image/jpeg	etag:%2214f81233d188d31:0%22	http://www.swosu.edu/administration/reslife/images/r-j-hall/rogers-floor-plan.jpg	./www.swosu.edu/administration/reslife/images/r-j-hall/rogers-floor-plan.jpg	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/floor-plans.aspx)
11:20:46	41174/41174	---M--	200	added ('OK')	image/jpeg	etag:%22204e233d188d31:0%22	http://www.swosu.edu/administration/reslife/images/r-j-hall/jefferson-floor-plan.jpg	./www.swosu.edu/administration/reslife/images/r-j-hall/jefferson-floor-plan.jpg	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/floor-plans.aspx)
